train lock skipped (--allow-parallel-train)
resumed weights from checkpoints/atom_native_obligatory_hard/atom_native.pt (recorded step=3458000, legacy_surface_migrated=False, span_head_migrated=False)
atomizer pack_mode=linguistic max_span_bytes=32
dynamics on load: energy_decay=0.30000001192092896 -> 0.30000001192092896 (repaired=False, bounds=(0.3, 0.95))
field_next_packet_weight=0.05 (predict next packet features from α+atoms)
MERGE gates: enable=True coherence_thr=0.450 energy_floor=0.080
field_obligatory_hard=ON hard-v2+ (mix_floor=1.0, freeze bypass, logits=frozen+cap*(α_MLP+payload_prod))
optimizer groups: field/other lr=0.0003 (13 tensors), surface lr=0.0003 (16 tensors); energy_decay_bounds=(0.3, 0.95); field_max_rms=3.0
stream mode: 10 shard(s), chunk_bytes=1048576, loop_shards=True, stream_buffer=2048, stream_prefetch=True
optimizer restore skipped: loaded state dict contains a parameter group that doesn't match the size of optimizer's group
step=3458001 (run 1/25000) loss=10.25753 byte_ppl=198.881 atoms=1 merges=32870 field=0.1160 rms=0.0021 scale=1.0000 fcos=0.707 ign=0.0000 prn=nan nxp=0.263 mph=0.000 bytes=524288 pkts=27462 shard=0
step=3458050 (run 50/25000) loss=4.43882 byte_ppl=3.608 atoms=1 merges=32919 field=2.1507 rms=0.0336 scale=1.0000 fcos=0.613 ign=0.0000 prn=nan nxp=0.153 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3458100 (run 100/25000) loss=8.68879 byte_ppl=106.130 atoms=1 merges=32969 field=3.8964 rms=0.0609 scale=1.0000 fcos=0.602 ign=0.0000 prn=nan nxp=0.130 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3458150 (run 150/25000) loss=3.77245 byte_ppl=4.053 atoms=1 merges=33019 field=5.3525 rms=0.0836 scale=1.0000 fcos=0.604 ign=0.0000 prn=nan nxp=0.216 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3458200 (run 200/25000) loss=7.21827 byte_ppl=62.367 atoms=1 merges=33069 field=6.8584 rms=0.1072 scale=1.0000 fcos=0.625 ign=0.0000 prn=nan nxp=0.068 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3458250 (run 250/25000) loss=3.64731 byte_ppl=3.794 atoms=1 merges=33119 field=8.3618 rms=0.1307 scale=1.0000 fcos=0.645 ign=0.0000 prn=nan nxp=0.247 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3458300 (run 300/25000) loss=6.38689 byte_ppl=50.277 atoms=1 merges=33168 field=10.0402 rms=0.1569 scale=1.0000 fcos=0.680 ign=0.0000 prn=nan nxp=0.022 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3458350 (run 350/25000) loss=6.22755 byte_ppl=59.149 atoms=1 merges=33218 field=11.8531 rms=0.1852 scale=1.0000 fcos=0.706 ign=0.0000 prn=nan nxp=0.041 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3458400 (run 400/25000) loss=7.62960 byte_ppl=71.412 atoms=1 merges=33268 field=13.7849 rms=0.2154 scale=1.0000 fcos=0.721 ign=0.0000 prn=nan nxp=0.092 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3458450 (run 450/25000) loss=6.51160 byte_ppl=34.046 atoms=1 merges=33318 field=15.8873 rms=0.2482 scale=1.0000 fcos=0.740 ign=0.0000 prn=nan nxp=0.084 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3458500 (run 500/25000) loss=4.02217 byte_ppl=3.546 atoms=1 merges=33368 field=18.1074 rms=0.2829 scale=1.0000 fcos=0.749 ign=0.0000 prn=nan nxp=0.176 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3458550 (run 550/25000) loss=6.31497 byte_ppl=27.054 atoms=1 merges=33417 field=20.4159 rms=0.3190 scale=1.0000 fcos=0.755 ign=0.0000 prn=nan nxp=0.032 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3458600 (run 600/25000) loss=3.57800 byte_ppl=2.906 atoms=1 merges=33467 field=22.9813 rms=0.3591 scale=1.0000 fcos=0.765 ign=0.0000 prn=nan nxp=0.065 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3458650 (run 650/25000) loss=8.70937 byte_ppl=65.049 atoms=1 merges=33517 field=25.5540 rms=0.3993 scale=1.0000 fcos=0.769 ign=0.0000 prn=nan nxp=0.111 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3458700 (run 700/25000) loss=4.74923 byte_ppl=15.294 atoms=1 merges=33567 field=28.4189 rms=0.4440 scale=1.0000 fcos=0.772 ign=0.0000 prn=nan nxp=0.030 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3458750 (run 750/25000) loss=4.56746 byte_ppl=12.073 atoms=1 merges=33617 field=31.4529 rms=0.4915 scale=1.0000 fcos=0.775 ign=0.0000 prn=nan nxp=0.014 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3458800 (run 800/25000) loss=6.65796 byte_ppl=44.829 atoms=1 merges=33666 field=34.7417 rms=0.5428 scale=1.0000 fcos=0.782 ign=0.0000 prn=nan nxp=0.110 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3458850 (run 850/25000) loss=8.33726 byte_ppl=56.417 atoms=1 merges=33716 field=38.2693 rms=0.5980 scale=1.0000 fcos=0.780 ign=0.0000 prn=nan nxp=0.098 mph=0.693 bytes=524288 pkts=27462 shard=0
